小米8青春版 镜面渐变AI双摄 6GB+64GB 梦幻蓝 全网通4G 双卡双待 全面屏拍照游戏智能手机,1699.00,[]
小米 红米Note5 全网通版 6GB+128GB 黑色 移动联通电信4G手机 双卡双待,1399.00,8514651
小米 红米6 Pro AI美颜双摄 4GB+32GB 曜石黑 全网通4G手机 双卡双待,899.00,7651931
小米8 全面屏游戏智能手机 6GB+64GB 黑色 全网通4G 双卡双待,2499.00,7437788
小米8 全面屏游戏智能手机 6GB+64GB 蓝色 全网通4G 双卡双待,2499.00,7437780
小米（MI）小米电视4X 55英寸 L55M5-AD 2GB+8GB HDR 4K超高清 蓝牙语音遥控 人工智能语音网络液晶平板电视,2499.00,7641991
小米 红米6 4GB+64GB 流沙金 全网通4G手机 双卡双待,849.00,8051124
小米 红米6 4GB+64GB 铂银灰 全网通4G手机 双卡双待,849.00,8051104
小米 红米6A AI美颜 3GB+32GB 流沙金 全网通4G手机 双卡双待,669.00,8264403
小米8 全面屏游戏智能手机 6GB+64GB 金色 全网通4G 双卡双待,2499.00,7652159
小米8 全面屏游戏智能手机 6GB+64GB 白色 全网通4G 双卡双待,2499.00,7652139
小米MIX2S 全面屏游戏手机 6GB+128GB 黑色 全网通4G 陶瓷手机,2899.00,6735790
小米8 全面屏游戏智能拍照手机 8GB+128GB 黑色 骁龙845 全网通4G 双卡双待,3099.00,8782991
小米（MI）小米电视4X 43英寸 L43M5-4X 1GB+8GB 全高清 蓝牙语音遥控 人工智能语音网络液晶平板电视,1499.00,100001063264
小米（MI）小米电视4A 65英寸 L65M5-AZ/L65M5-AD 2GB+8GB HDR 4K超高清 人工智能网络液晶平板电视,3999.00,4609660
小米8 全面屏游戏智能手机 6GB+128GB 黑色 全网通4G 双卡双待,2799.00,7652141
小米6X 全网通 4GB+64GB 曜石黑 移动联通电信4G手机 双卡双待 智能手机 拍照手机,1299.00,[]
小米Max2 大屏手机 4GB+64GB 金色 全网通4G手机 双卡双待,999.00,5159242
小米8SE 全面屏智能游戏拍照手机 6GB+64GB 灰色 骁龙处理器 全网通4G 双卡双待,1699.00,7437786
小米8青春版 镜面渐变AI双摄 6GB+128GB 梦幻蓝 全网通4G 双卡双待 全面屏拍照游戏智能手机,1999.00,100000503275
小米（MI）小米电视4A 32英寸 L32M5-AZ 1GB+4GB 四核处理器 高清人工智能网络液晶平板电视,799.00,4620979
小米8屏幕指纹版 6GB+128GB 黑色 全网通4G 双卡双待 全面屏拍照游戏智能手机,3199.00,100000400010
小米8青春版 镜面渐变AI双摄 6GB+128GB 深空灰 全网通4G 双卡双待 全面屏拍照游戏智能手机,1999.00,100000503277
小米8青春版 镜面渐变AI双摄 6GB+64GB 深空灰 全网通4G 双卡双待 全面屏拍照游戏智能手机,1699.00,100000349372
小米（MI）小爱同学mini网络AI音箱人工语音智能闹钟音响小艾同学蓝牙Wifi迷你家用便携低音炮 小爱音箱mini版,169.00,[]
小米 红米6A AI美颜 3GB+32GB 铂银灰 全网通4G手机 双卡双待,669.00,8264407
小米6X 全网通 4GB+64GB 樱花粉 移动联通电信4G手机 双卡双待 智能手机 拍照手机,1299.00,7633911
小米 红米Note5 全网通版 6GB+128GB 金色 移动联通电信4G手机 双卡双待,1399.00,8302186
小米 红米Note5 全网通版 6GB+128GB 赤焰红 移动联通电信4G手机 双卡双待,1299.00,8302184
小米8SE 全面屏智能手机 4GB+64GB 灰色 全网通4G 双卡双待,1569.00,7652161
小米（MI）小米电视4A  55英寸 L55M5-AZ/L55M5-AD  2GB+8GB  HDR 4K超高清 人工智能网络液晶平板电视,2299.00,4609652
小米 8SE 全面屏智能手机 6GB+128GB 灰色 全网通4G 双卡双待 拍照手机 游戏手机,2099.00,8656283
小米 红米6 3GB+32GB 铂银灰 全网通4G手机 双卡双待,699.00,[]
小米Mix3 8GB+256GB黑色 骁龙845全网通4G 双卡双待 全面屏拍照游戏智能手机,3999.00,7652011
小米 红米Note5 全网通版 6GB+128GB 玫瑰金 移动联通电信4G手机 双卡双待,1399.00,8514625
小米 红米6A AI美颜 3GB+32GB 樱花粉 全网通4G手机 双卡双待,669.00,8264405
小米 红米6 Pro AI美颜双摄 4GB+64GB 曜石黑 全网通4G手机 双卡双待,1099.00,7651947
小米MIX2S 全面屏游戏手机 6GB+128GB 白色 全网通4G 陶瓷手机,2899.00,6949477
小米 红米Note5 全网通版 4GB+64GB 黑色 移动联通电信4G手机 双卡双待 拍照手机,1149.00,6600258
小米 红米6 Pro AI美颜双摄 4GB+32GB 流沙金 全网通4G手机 双卡双待,899.00,7819736
小米8 全面屏游戏智能手机 8GB+128GB 蓝色 全网通4G 双卡双待,3099.00,8570968
小米8SE 全面屏智能手机 4GB+64GB 红色 全网通4G 双卡双待,1569.00,7437782
小米6X 全网通 6GB+128GB 曜石黑 移动联通电信4G手机 双卡双待 智能手机 拍照手机,1599.00,7119990
小米 红米6 Pro AI美颜双摄 3GB+32GB 曜石黑 全网通4G手机 双卡双待,869.00,7437560
小米8SE 全面屏智能手机 4GB+64GB 蓝色 全网通4G 双卡双待,1569.00,7652163
小米 红米6 4GB+64GB 樱花粉 全网通4G手机 双卡双待,849.00,8051102
小米Max3 大屏游戏智能手机 6GB+128GB 黑色 全网通4G手机 双卡双待,1899.00,8457421
小米8 全面屏游戏智能手机 6GB+128GB 白色 全网通4G 双卡双待,2799.00,7437762
小米（MI）90分旅行箱拉杆箱 男女万向托运旅行皮箱24英寸轻巧便利出差旅游行李箱 星空灰-24英寸,349.00,[]
小米（MI）小米电视4C 32英寸 L32M5-AD 1GB+4GB 四核处理器 高清人工智能网络液晶平板电视,799.00,7680253
小米 红米6 3GB+32GB 流沙金 全网通4G手机 双卡双待,699.00,7651903
小米8 全面屏游戏智能手机 6GB+256GB 黑色 全网通4G 双卡双待,3099.00,7652145
小米 红米6 Pro AI美颜双摄 4GB+32GB 樱花粉 全网通4G手机 双卡双待,899.00,8033417
小米 红米6A AI美颜 3GB+32GB 巴厘蓝 全网通4G手机 双卡双待,669.00,8051122
